English, Russian, Spanish, German
joyful,радостный,alegre,freudig
kind,добрый,amable,freundlich
lazy,ленивый,perezoso,faul
loyal,верный,leal,loyal
modest,скромный,modesto,bescheiden
motivated,мотивированный,motivado,motiviert
optimistic,оптимистичный,optimista,optimistisch
patient,терпеливый, paciente, geduldig
polite,вежливый,educado,höflich
practical,практичный,práctico,praktisch
proactive,инициативный,proactivo,proaktiv
punctual,пунктуальный,puntual,pünktlich
reliable,надежный,fiable,zuverlässig
respectful,уважительный,respetuoso,respektvoll
responsible,ответственный,responsable,verantwortlich
sensitive,чувствительный,sensible,sensibel
sincere,искренний,sincero,aufrichtig
spontaneous,спонтанный,espontáneo,spontan
supportive,поддерживающий,solidario,unterstützend
thoughtful,внимательный,considerado,überlegt
trustworthy,достойный доверия,digno de confianza,vertrauenswürdig
understanding,понимающий,comprensivo,verständnisvoll
versatile,универсальный,versátil,vielfältig
vibrant,яркий,vibrante,lebendig
wise,мудрый,sabio,weise
adventurous,авантюрный,aventurero,abenteuerlich
affectionate,нежный,afectuoso,liebevoll
ambiguous,двусмысленный,ambiguo,mehrdeutig
anecdotal,анекдотичный,anecdótico,anekdotisch
artistic,артистичный,artístico,künstlerisch
assertive,уверенный в себе,asertivo,durchsetzungsfähig
attentive,внимательный,atento,aufmerksam
authentic,аутентичный,auténtico,echt
balanced,сбалансированный, equilibrado,ausgewogen
bold,смелый,audaz,mutig
brilliant,блестящий,brillante,brillant
calculated,рассчитанный,calculado,berechnet
candid,откровенный,cándido,offen
charismatic,харизматичный,carismático,charismatisch
coherent,логичный,coherente, kohärent
compassionate,сострадательный,compasivo,mitfühlend
conscientious,добросовестный,concienzudo,gewissenhaft
contemplative,созерцательный,contemplativo, nachdenklich
convenient,удобный,conveniente,praktisch
courageous,смелый,valiente,mutig
creative,креативный,creativo,kreativ
decisive,решительный,decisivo,entschlossen
dedicated,посвященный,dedicado,engagiert
diplomatic,дипломатичный,diplomático,diplomatisch
discreet,осторожный,discreto,discreet
dynamic,динамичный,dinámico,dynamisch
efficient,эффективный,eficiente,effizient
empathetic,сочувствующий,empático,einfühlsam
enthusiastic,энтузиастичный,entusiasta,begeistert
flexible,гибкий,flexible,flexibel
focused,сосредоточенный,enfocado,fokussiert
generous,щедрый,generoso,generös
genuine,искренний,genuino,echt
impartial,беспристрастный,imparcial,unparteiisch
inquisitive,любопытный,inquisitivo,neugierig
insightful,проницательный,perspicaz,einfühlsam
intuitive,интуитивный,intuitivo,intuitiv
logical,логичный,lógico,logisch
meticulous,тщательный,meticuloso,meticulous
motivated,мотивированный,motivado,motiviert
objective,объективный,objeto,objektiv
passionate,страстный,pasión,passioniert
perceptive,восприимчивый,perceptivo,perceptiv
persistent,упорный,persistente,beharrlich
pragmatic,прагматичный,pragmático,pragmatisch
proficient,квалифицированный,competente,kompetent
punctual,пунктуальный,puntual,pünktlich
receptive,восприимчивый,receptivo,aufgeschlossen
resilient,устойчивый,resiliente,belastbar
resourceful,находчивый,ingenioso,einfallsreich
sophisticated,софистицированный,sofisticado,raffiniert
strategic,стратегический,estratégico,strategisch
tactful,тактичный,táctico, taktvoll
tenacious,упорный,tenaz,beharrlich
thoughtful,вдумчивый,considerado,überlegt
trusting,доверчивый,confiado,vertrauensvoll
adaptable,адаптивный,adaptable,anpassungsfähig
affluent,зажиточный,afluente,wohlhabend
agile,ловкий,ágil,agil
altruistic,альтруистичный,altruista,altruistisch
articulate,четкий,articulado,artikulierend
assertive,напористый,asertivo,durchsetzungsfähig
attentive,внимательный,atento,aufmerksam
authentic,подлинный,auténtico,echt
benevolent,доброжелательный,benévolo,gütig
brave,храбрый,valiente,mutig
calm,умиротворенный,tranquilo,ruhig
candid,откровенный,cándido,offen
charismatic,обаяшный,carismático,charismatisch
cooperative,кооперативный,cooperativo,kooperativ
courageous,мужественный,valiente,mutig
cultured,культурный,cultivado,kultiviert
daring,смелый,atrevido,gewagt
dedicated,преданный,dedicado,engagiert
diplomatic,дипломатичный,diplomático,diplomatisch
discerning,разборчивый,discerning,urteilend
dynamic,активный,dinámico,dynamisch
empathetic,сочувствующий,empático,einfühlsam
enthusiastic,увлеченный,entusiasta,begeistert
exuberant,жизнерадостный,exuberante,lebhaft
fearless,бесстрашный,sin miedo,furchtlos
flexible,гибкий,flexible,flexibel
forgiving,прощающий,perdonador,verzeihend
generous,щедрый,generoso,generös
genuine,искренний,genuino,echt
gracious,вежливый,amable,gnädig
grounded,приземленный,con los pies en la tierra,geerdet
hardworking,трудолюбивый,trabajador,arbeitsam
honest,честный,honesto,ehrlich
imaginative,воображаемый,imaginativo,einfallsreich
independent,независимый,independiente,unabhängig
innovative,инновационный,innovador,innovativ
inspiring,вдохновляющий,inspirador,inspirierend
intuitive,интуитивный,intuitivo,intuitiv
judicious,рассудительный,juicioso,umsichtig
keen,острый,agudo,scharf
logical,логический,lógico,logisch
meticulous,тщательный,meticuloso,meticulous
motivated,мотивированный,motivado,motiviert
observant,наблюдательный,observador,aufmerksam
optimistic,оптимистичный,optimista,optimistisch
organized,организованный,organizado,organisiert
passionate,страстный,pasión,leidenschaftlich
perceptive,проницательный,perceptivo,perceptiv
pragmatic,прагматичный,pragmático,pragmatisch
proactive,инициативный,proactivo,proaktiv
reliable,надежный,fiable,zuverlässig
resourceful,находчивый,ingenioso,einfallsreich
sensible,разумный,sensato,sensibel
sincere,искренний,sincero,aufrichtig
supportive,поддерживающий,solidario,unterstützend
tolerant,терпимый,tolerante,tolerant
trustworthy,достойный доверия,digno de confianza,vertrauenswürdig
accept,принимать,aceptar,akzeptieren
achieve,достигать,lograr,erreichen
advise,советовать,aconsejar,beraten
allow,разрешать,permitir,erlauben
analyze,анализировать,analizar,analysieren
apply,применять,aplicar,anwenden
argue,спорить,argüir,argumentieren
arrive,прибывать,llegar,ankommen
ask,спрашивать,preguntar,fragen
attend,посещать,asistir,teilnehmen
believe,верить,creer,glauben
borrow,брать взаймы,pedir prestado,ausleihen
build,строить,construir,bauen
calculate,вычислять,calcular,berechnen
change,менять,cambiar,ändern
choose,выбирать,escoger,wählen
clarify,разъяснять,aclarar,klären
communicate,общаться,comunicar,kommunizieren
compare,сравнивать,comparar,vergleichen
compete,соревноваться,competir,wettbewerben
complete,завершать,completar,abschließen
consider,рассматривать,considerar,berücksichtigen
create,создавать,crear,erschaffen
decide,решать,decidir,entscheiden
describe,описывать,describir,beschreiben
develop,развивать,desarrollar,entwickeln
discuss,обсуждать,discutir,besprechen
discover,открывать,descubrir,entdecken
distribute,распределять,distribuir,verteilen
educate,образовывать,educar,ausbilden
encourage,поощрять,animar,ermutigen
evaluate,оценивать,evaluar,bewerten
explain,объяснять,explicar,erklären
explore,исследовать,explorar,erkunden
find,находить,encontrar,finden
follow,следовать,seguir,folgen
forget,забывать,olvidar,vergessen
gather,собирать,reunir,sammeln
give,давать,dar,geben
help,помогать,ayudar,helfen
improve,улучшать,mejorar,verbessern
influence,влиять,influir,beeinflussen
inform,информировать,informar,informieren
inspire,вдохновлять,inspirar,inspirieren
investigate,расследовать,investigar,untersuchen
join,присоединяться,unirse,beitreten
learn,учиться,aprender,lernen
manage,управлять,gestionar,verwalten
motivate,мотивировать,motivar,motivieren
observe,наблюдать,observar,beobachten
organize,организовывать,organizar,organisieren
participate,участвовать,participar,teilnehmen
plan,планировать,planificar,planen
prepare,готовить,preparar,vorbereiten
present,представлять,presentar,präsentieren
produce,производить,producir,produzieren
promote,продвигать,promover,fördern
protect,защищать,proteger,schützen
recommend,рекомендовать,recomendar,empfehlen
reduce,уменьшать,reducir,reduzieren
respond,отвечать,responder,antworten
review,пересматривать,revisar,überprüfen
save,сохранять,guardar,speichern
share,делиться,compartir,teilen
solve,решать,resolver,lösen
suggest,предлагать,sugerir,vorschlagen
support,поддерживать,apoyar,unterstützen
teach,учить,enseñar,unterrichten
test,тестировать,probar,testen
translate,переводить,traducir,übersetzen
understand,понимать,entender,verstehen
use,использовать,usar,benutzen
visit,посещать,visitar,b besichtigen
adapt,адаптировать,adaptar,anpassen
analyze,анализировать,analizar,analysieren
appreciate,ценить,apreciar,würdigen
assist,помогать,asistir,unterstützen
balance,балансировать, equilibrar,ausgleichen
brainstorm,мозговой штурм,tormenta de ideas,Brainstorming
calculate,вычислять,calcular,berechnen
clarify,разъяснять,aclarar,klären
collaborate,сотрудничать,colaborar,zusammenarbeiten
communicate,общаться,comunicar,kommunizieren
connect,соединять,conectar,verbinden
contribute,вносить вклад,contribuir,beitragen
convince,убеждать,convencer,überzeugen
cooperate,сотрудничать,cooperar,kooperieren
create,создавать,crear,erschaffen
criticize,критиковать,criticar,kritisieren
debate,дебатировать,debatir,debatieren
define,определять,definir,definieren
deliver,доставлять,entregar,liefern
demonstrate,демонстрировать,demonstra,demonstrieren
design,разрабатывать,diseñar,entwerfen
develop,развивать,desarrollar,entwickeln
differentiate,различать,diferenciar,differenzieren
discover,открывать,descubrir,entdecken
discuss,обсуждать,discutir,besprechen
distribute,распределять,distribuir,verteilen
educate,образовывать,educar,ausbilden
eliminate,устранять,eliminar,eliminieren
emphasize,подчеркивать,énfasis,betonen
enhance,улучшать,mejorar,verbessern
establish,устанавливать,establecer,einrichten
evaluate,оценивать,evaluar,bewerten
expand,расширять,expandir,erweitern
explain,объяснять,explicar,erklären
explore,исследовать,explorar,erkunden
facilitate,облегчать,facilitar,erleichtern
generate,генерировать,generar,erzeugen
identify,идентифицировать,identificar,identifizieren
implement,внедрять,implementar,implementieren
improve,улучшать,mejorar,verbessern
influence,влиять,influir,beeinflussen
integrate,интегрировать,integrar,integrieren
interact,взаимодействовать,interactuar,interagieren
introduce,представлять,introducir,einführen
investigate,исследовать,investigar,untersuchen
manage,управлять,gestionar,verwalten
motivate,мотивировать,motivar,motivieren
negotiate,вести переговоры,negociar,verhandeln
organize,организовывать,organizar,organisieren
participate,участвовать,participar,teilnehmen
make, делать, hacer, machen
retrieve, извлекать, recuperar, abrufen
